"Grant Type","Amount"
"Community Grant","100000"
"BOT Initiative","100000"
"Community Grant","90000"
"Community Grant","124500"
"Community Grant","180000"
"Community Grant","150000"
"BOT Initiative","249811"
"Community Grant","150000"
"BOT Initiative","180000"
"Community Grant","122822"
"Community Grant","120000"
"Community Grant","150000"
"Community Grant","124823"
"Community Grant","41325"
"Community Grant","125000"
"Community Grant","195000"
"Community Grant","3780"
"Community Grant","200000"
"Community Grant","89850"
"Community Grant","20000"
"Community Grant","125000"
"Community Grant","240782"
"Community Grant","20000"
"Community Grant","260409"
"Community Grant","47640"
"Community Grant","234926"
"Community Grant","200000"
"Community Grant","45440"
"Community Grant","155138"
"Community Grant","34000"
"Community Grant","150000"
"BOT Initiative","187000"
"Community Grant","208675"
"BOT Initiative","397000"
"Community Grant","300000"
"BOT Initiative","330000"
"BOT Initiative","330000"
"Community Grant","148500"
"Community Grant","26500"
"Community Grant","25078"
"BOT Initiative","440000"
"BOT Initiative","75000"
"Community Grant","250000"
"Community Grant","250000"
"Community Grant","100183"
"Community Grant","28350"
"Community Grant","80228"
"Community Grant","70000"
"Community Grant","101900"
"Community Grant","81300"
"Community Grant","250000"
"Community Grant","209848"
"Community Grant","75000"
"Community Grant","250000"
"Community Grant","250000"
"Community Grant","72914"
"Community Grant","100000"
"Community Grant","75000"
"Community Grant","233329"
"Community Grant","70000"
"Community Grant","99706"
"Community Grant","97585"
"Community Grant","100000"
"BOT Initiative","136000"
"Community Grant","64430"
"Community Grant","43320"
"Community Grant","85819"
"Community Grant","79611"
"Community Grant","80000"
"Community Grant","85819"
"Community Grant","80000"
"Community Grant","53666"
"Community Grant","148564"
"Community Grant","52000"
"Community Grant","148564"
"Community Grant","140000"
"BOT Initiative","300000"
"BOT Initiative","590000"
"Community Grant","140000"
"BOT Initiative","150000"
"Community Grant","100000"
"BOT Initiative","1231140"
"BOT Initiative","1500000"
"BOT Initiative","1500000"
"BOT Initiative","1500000"
"Community Grant","38001.6"
"Sponsorship","2500"
"Sponsorship","3500"
"Sponsorship","10000"
"Sponsorship","11200"
"Sponsorship","5000"
"Sponsorship","2500"
"Sponsorship","25000"
"Sponsorship","10000"
"Sponsorship","1500"
"Sponsorship","2000"
"Sponsorship","2000"
"Sponsorship","1000"
"Sponsorship","15000"
"Sponsorship","15000"
"Sponsorship","15000"
"Sponsorship","10355"
"Sponsorship","4645.14"
"Sponsorship","18500"
"Sponsorship","11336"
"Sponsorship","1700"
"Sponsorship","25000"
"Sponsorship","5000"
"Sponsorship","25000"
"Sponsorship","3000"
"Sponsorship","10164"
"Sponsorship","5000"
"Sponsorship","10000"
"Sponsorship","3500"
"Sponsorship","20000"
"Sponsorship","2500"
"Sponsorship","8000"
"Sponsorship","25000"
"Sponsorship","500"
"Sponsorship","500"
"Sponsorship","5000"
"Sponsorship","40000"
"Sponsorship","25000"
"Sponsorship","5000"
"Sponsorship","2584.95"
"BOT Initiative","3000000"
"BOT Initiative","3000000"
"BOT Initiative","3000000"
"BOT Initiative","94067"
"Sponsorship","25000"
"BOT Initiative","228000"
"BOT Initiative","228000"
"Community Grant","24120"
"Sponsorship","1000"
"Sponsorship","2500"
"Sponsorship","5000"
"Sponsorship","5000"
"Sponsorship","2000"
"Sponsorship","950"
"Sponsorship","1000"
"Sponsorship","5000"
"Sponsorship","2500"
"Sponsorship","15000"
"Sponsorship","10000"
"Sponsorship","20000"
"Sponsorship","500"
"Sponsorship","5000"
"Sponsorship","25000"
"Sponsorship","10000"
"Sponsorship","2500"
"Sponsorship","5000"
"Sponsorship","25000"
"Sponsorship","4000"
"Sponsorship","25000"
"Sponsorship","15000"
"Sponsorship","15000"
"Sponsorship","1000"
"Sponsorship","5000"
