"Location","Amount",""
"Statewide","100000",""
"Statewide","100000",""
"Statewide","90000",""
"Hawaii","124500",""
"Hawaii","180000",""
"Oahu","150000",""
"Oahu","249811",""
"Hawaii","150000",""
"Kauai","180000",""
"Statewide","122822",""
"Hawaii","120000",""
"Oahu","150000",""
"Statewide","124823",""
"Oahu","41325",""
"Oahu","125000",""
"Statewide","195000",""
"Statewide","3780",""
"Oahu","200000",""
"Kauai","89850",""
"Oahu","20000",""
"Hawaii","125000",""
"Hawaii","240782",""
"Oahu","20000",""
"Oahu","260409",""
"Oahu","47640",""
"Oahu","234926",""
"Oahu","200000",""
"Oahu","45440",""
"Statewide","155138",""
"Oahu","34000",""
"Oahu","150000",""
"Statewide","187000",""
"Oahu","208675",""
"Statewide","397000",""
"Oahu","300000",""
"Statewide","330000",""
"Statewide","330000",""
"Maui","148500",""
"Oahu","26500",""
"Oahu","25078",""
"Statewide","440000",""
"Multiple","75000",""
"Statewide","250000",""
"Multiple","250000",""
"Oahu","100183",""
"Oahu","28350",""
"Oahu","80228",""
"Hawaii","70000",""
"Maui","101900",""
"Maui","81300",""
"Oahu","250000",""
"Maui","209848",""
"Oahu","75000",""
"Statewide","250000",""
"Multiple","250000",""
"Hawaii","72914",""
"Maui","100000",""
"Oahu","75000",""
"Maui","233329",""
"Hawaii","70000",""
"Oahu","99706",""
"Oahu","97585",""
"Maui","100000",""
"Statewide","136000",""
"Oahu","64430",""
"Maui","43320",""
"Kauai","85819",""
"Oahu","79611",""
"Oahu","80000",""
"Kauai","85819",""
"Oahu","80000",""
"Statewide","53666",""
"Statewide","148564",""
"Oahu","52000",""
"Statewide","148564",""
"Oahu","140000",""
"Statewide","300000",""
"Statewide","590000",""
"Oahu","140000",""
"Oahu","150000",""
"Oahu","100000",""
"Statewide","1231140",""
"Statewide","1500000",""
"Statewide","1500000",""
"Statewide","1500000",""
"Lanai","38001.6",""
"Oahu","2500",""
"Oahu","3500",""
"Oahu","10000",""
"Oahu","11200",""
"Continent","5000",""
"International","2500",""
"Statewide","25000",""
"Continent","10000",""
"Oahu","1500",""
"Oahu","2000",""
"Oahu","2000",""
"Oahu","1000",""
"Oahu","15000",""
"Oahu","15000",""
"Oahu","15000",""
"Continent","10355",""
"Continent","4645.14",""
"Continent","18500",""
"Continent","11336",""
"Continent","1700",""
"Statewide","25000",""
"Continent","5000",""
"Oahu","25000",""
"Continent","3000",""
"International","10164",""
"Oahu","5000",""
"Oahu","10000",""
"Oahu","3500",""
"International","20000",""
"Oahu","2500",""
"Oahu","8000",""
"Oahu","25000",""
"Oahu","500",""
"Oahu","500",""
"Oahu","5000",""
"Oahu","40000",""
"Oahu","25000",""
"Oahu","5000",""
"Oahu","2584.95",""
"Statewide","3000000",""
"Statewide","3000000",""
"Statewide","3000000",""
"Statewide","94067",""
"Statewide","25000",""
"Hawaii","228000",""
"Hawaii","228000",""
"Statewide","24120",""
"Continent","1000",""
"Oahu","2500",""
"Hawaii","5000",""
"Oahu","5000",""
"Hawaii","2000",""
"Oahu","950",""
"Hawaii","1000",""
"Hawaii","5000",""
"Oahu","2500",""
"Kauai","15000",""
"Oahu","10000",""
"Oahu","20000",""
"Oahu","500",""
"Oahu","5000",""
"International","25000",""
"Hawaii","10000",""
"Oahu","2500",""
"Oahu","5000",""
"Oahu","25000",""
"Oahu","4000",""
"Kauai","25000",""
"Oahu","15000",""
"Oahu","15000",""
"Oahu","1000",""
"Oahu","5000",""
"Oahu","1250",""
"Oahu","2000",""
"Oahu","3500",""
"Statewide","25000",""
"Oahu","3500",""
"Oahu","6700",""
"Oahu","5000",""
"Oahu","1500",""
"Oahu","3000",""
"Oahu","3000",""
"Oahu","1000",""
"Oahu","150",""
"Oahu","5000",""
"Oahu","10000",""
"Molokai","20000",""
"Oahu","1000",""
"Oahu","25000",""
"Oahu","25000",""
"Oahu","2000",""
"Oahu","5000",""
"Oahu","3500",""
"Oahu","3000",""
"Oahu","15000",""
"Oahu","3000",""
"International","4792.21",""
"Hawaii","1000",""
"Statewide","89819",""
"Oahu","1200",""
"Oahu","50000",""
"Molokai","5000",""
"Molokai","6500",""
"Molokai","5000",""
"Maui","25000",""
"Oahu","1000",""
"Oahu","15000",""
"Maui","5000",""
"Continent","2000",""
"Oahu","30000",""
"International","20000",""
"Oahu","18000",""
"Statewide","1000",""
"Hawaii","6000",""
"Hawaii","1000",""
"Oahu","1250",""
"Hawaii","20000",""
"Oahu","25000",""
"Oahu","5000",""
"Oahu","1250",""
"Oahu","1500",""
"Lanai","2500",""
"Oahu","100000",""
"Oahu","1000",""
"Oahu","3500",""
"Oahu","3000",""
"Oahu","1500",""
"Oahu","1000",""
"Kauai","3500",""
"Oahu","5500",""
"Papahanaumokuakea","15750",""
"Molokai","2000",""
"Statewide","9000",""
"Oahu","10000",""
