"Fiscal Year","Amount"
"2014","100000"
"2014","100000"
"2013","90000"
"2013","124500"
"2014","180000"
"2013","150000"
"2014","249811"
"2013","150000"
"2014","180000"
"2014","122822"
"2015","120000"
"2013","150000"
"2015","124823"
"2013","41325"
"2013","125000"
"2013","195000"
"2015","3780"
"2015","200000"
"2013","89850"
"2015","20000"
"2013","125000"
"2013","240782"
"2014","20000"
"2014","260409"
"2014","47640"
"2015","234926"
"2013","200000"
"2015","45440"
"2013","155138"
"2013","34000"
"2013","150000"
"2015","187000"
"2013","208675"
"2013","397000"
"2014","300000"
"2015","330000"
"2014","330000"
"2013","148500"
"2014","26500"
"2013","25078"
"2013","440000"
"2014","75000"
"2013","250000"
"2015","250000"
"2014","100183"
"2015","28350"
"2014","80228"
"2014","70000"
"2014","101900"
"2015","81300"
"2013","250000"
"2014","209848"
"2015","75000"
"2013","250000"
"2014","250000"
"2013","72914"
"2014","100000"
"2014","75000"
"2015","233329"
"2015","70000"
"2015","99706"
"2013","97585"
"2015","100000"
"2013","136000"
"2013","64430"
"2013","43320"
"2015","85819"
"2015","79611"
"2014","80000"
"2014","85819"
"2015","80000"
"2013","53666"
"2014","148564"
"2013","52000"
"2015","148564"
"2015","140000"
"2014","300000"
"2014","590000"
"2014","140000"
"2014","150000"
"2013","100000"
"2013","1231140"
"2015","1500000"
"2013","1500000"
"2014","1500000"
"2013","38001.6"
"2013","2500"
"2013","3500"
"2013","10000"
"2013","11200"
"2015","5000"
"2013","2500"
"2014","25000"
"2014","10000"
"2013","1500"
"2014","2000"
"2015","2000"
"2013","1000"
"2013","15000"
"2014","15000"
"2015","15000"
"2013","10355"
"2014","4645.14"
"2015","18500"
"2015","11336"
"2014","1700"
"2014","25000"
"2015","5000"
"2013","25000"
"2013","3000"
"2014","10164"
"2014","5000"
"2014","10000"
"2015","3500"
"2015","20000"
"2015","2500"
"2014","8000"
"2015","25000"
"2015","500"
"2013","500"
"2013","5000"
"2013","40000"
"2014","25000"
"2014","5000"
"2015","2584.95"
"2013","3000000"
"2014","3000000"
"2015","3000000"
"2015","94067"
"2013","25000"
"2013","228000"
"2014","228000"
"2014","24120"
"2013","1000"
"2013","2500"
"2015","5000"
"2014","5000"
"2014","2000"
"2015","950"
"2013","1000"
"2015","5000"
"2013","2500"
"2015","15000"
"2015","10000"
"2013","20000"
"2013","500"
"2013","5000"
"2013","25000"
"2015","10000"
"2014","2500"
"2013","5000"
"2013","25000"
"2013","4000"
"2014","25000"
"2014","15000"
"2014","15000"
"2014","1000"
"2014","5000"
"2014","1250"
"2014","2000"
"2015","3500"
"2015","25000"
"2015","3500"
"2015","6700"
"2015","5000"
"2013","1500"
"2013","3000"
"2015","3000"
"2015","1000"
"2014","150"
"2014","5000"
"2013","10000"
"2015","20000"
"2013","1000"
"2014","25000"
"2015","25000"
"2015","2000"
"2013","5000"
"2014","3500"
"2013","3000"
"2013","15000"
"2015","3000"
"2014","4792.21"
"2013","1000"
"2013","89819"
"2014","1200"
"2014","50000"
"2013","5000"
"2015","6500"
"2013","5000"
"2013","25000"
"2013","1000"
"2013","15000"
"2013","5000"
"2013","2000"
"2013","30000"
"2013","20000"
"2013","18000"
"2013","1000"
"2014","6000"
"2014","1000"
"2013","1250"
"2013","20000"
"2013","25000"
"2014","5000"
"2014","1250"
"2015","1500"
"2013","2500"
"2014","100000"
"2013","1000"
"2014","3500"
"2014","3000"
"2014","1500"
"2015","1000"
"2014","3500"
"2014","5500"
"2014","15750"
"2014","2000"
"2015","9000"
"2013","10000"
"2013","2500"
"2014","66200"
"2015","67032"
"2013","5000"
"2013","10000"
"2014","1500"
"2013","5900"
"2015","10000"
"2014","25000"
"2014","10000"
"2014","2000"
"2015","2400"
"2013","2000"
"2013","3850"
"2015","2000"
"2013","1000"
"2013","5000"
"2015","7500"
"2013","1000"
"2015","5000"
"2015","2500"
"2013","20000"
"2013","5000"
"2014","10000"
"2015","10000"
"2013","20000"
"2014","20000"
"2013","3000"
"2015","85000"
"2015","1000"
"2013","5000"
"2014","24999"
"2014","3500"
"2013","5000"
"2015","500"
"2015","10000"
"2013","2000"
"2013","15000"
"2014","60000"
"2013","3000"
"2013","3000"
"2013","1500"
"2014","1750"
"2013","4500"
"2014","2500"
"2013","1000"
"2014","1500"
"2014","2000"
"2013","2500"
"2014","1000"
"2015","1000"
"2015","24999"
"2015","2500"
"2015","1500"
"2013","25000"
"2014","25000"
"2015","13000"
"2013","13000"
"2013","25000"
"2013","25000"
"2015","22180"
"2013","1000"
"2015","15950"
"2015","17000"
"2014","100000"
"2013","25000"
"2013","500"
"2013","1972"
"2013","25000"
"2014","7515"
"2014","5000"
"2014","7671"
"2014","3500"
"2014","4144.88"
"2015","1300"
"2015","5000"
"2015","25000"
"2014","2755"
"2014","7500"
"2015","2450"
"2015","2499"
"2013","25000"
"2013","5000"
"2014","25000"
"2013","650"
"2013","1000"
"2014","2500"
"2015","1500"
"2015","130000"
"2014","130000"
"2014","135410"
"2015","127410"
"2014","2000"
"2013","5200"
"2013","800"
"2013","7566"
"2013","830000"
"2013","7000"
"2015","4000"
"2013","5000"
"2014","5000"
"2015","5000"
"2013","50000"
"2013","3000"
"2013","10000"
"2014","10000"
"2015","9000"
"2015","5600"
"2014","9000"
"2015","8500"
"2015","9000"
"2013","5000"
"2013","7500"
"2014","4100"
"2013","10000"
"2013","7700"
"2014","6000"
"2015","7000"
"2014","4000"
"2013","5000"
"2013","5000"
"2014","5000"
"2015","6000"
"2013","10000"
"2013","4000"
"2013","7500"
"2014","3000"
"2014","8200"
"2014","6000"
"2014","7600"
"2015","9000"
"2015","5000"
"2013","10000"
"2015","5090"
"2015","3610"
"2014","9500"
"2014","3000"
"2014","8000"
"2015","3000"
"2014","5300"
"2015","6000"
"2014","6210"
"2015","5500"
"2015","5500"
"2013","10000"
"2014","7000"
"2015","8000"
"2014","10000"
"2015","5000"
"2013","5000"
"2014","5000"
"2014","9990"
"2014","10000"
"2015","10000"
"2013","5000"
"2014","4000"
"2015","6500"
"2013","5000"
"2015","4000"
"2014","9000"
"2015","8000"
"2014","7000"
"2015","5000"
"2013","10000"
"2013","10000"
"2013","3000"
"2014","10000"
"2014","6600"
"2015","7000"
"2013","10000"
"2014","4000"
"2015","7400"
"2015","5500"
"2013","5000"
"2014","4000"
"2015","6000"
"2013","5000"
"2013","5000"
"2014","5500"
"2013","10000"
"2015","8000"
"2015","1000"
"2013","3000"
"2013","10000"
"2015","5000"
"2013","10000"
"2014","8000"
"2015","8000"
"2015","90000"
"2014","250000"
"2015","250000"
"2014","125000"
"2015","125000"
"2014","89000"
"2015","204455"
"2015","24550"
"2014","224095"
"2014","39452"
"2015","6575"
"2014","180000"
"2015","88000"
"2014","150000"
"2015","100000"
"2014","114327"
"2015","114327"
"2014","200000"
"2014","142785"
"2015","147215"
"2015","135804"
"2014","120000"
"2015","80000"
"2014","103800"
"2015","102968"
"2015","218855"
"2015","896232"
"2015","8800"
"2014","187000"
"2013","30000"
"2015","33000"
"2015","2598000"
"2015","15000"
"2015","25000"
"2015","25000"
"2015","25000"
"2016","250000"
"2016","10000"
"2016","1500000"
"2016","6000"
"2016","7000"
"2016","150000"
"2016","64343"
"2016","150000"
"2016","67400"
"2016","20000"
"2016","48257"
"2016","226500"
"2016","7000"
"2016","5000"
"2016","7000"
"2016","5000"
"2016","7000"
"2016","8000"
"2016","6000"
"2016","6500"
"2016","7000"
"2016","7000"
"2016","5000"
"2016","7000"
"2016","8000"
"2016","10000"
"2016","6000"
"2016","6000"
"2016","6000"
"2016","5000"
"2016","2300"
"2016","6500"
"2016","5000"
"2016","236975"
"2016","184000"
"2016","89030"
"2016","219995"
"2016","33000"
"2016","100000"
"2016","250000"
"2016","115000"
"2016","180000"
"2016","143000"
"2016","135256"
"2016","112000"
"2016","190000"
"2016","38000"
"2016","597468"
"2016","7000"
"2016","6500"
"2016","265059"
"2016","16675"
"2016","174390"
"2016","3000000"
"2016","261500"
"2016","221550"
"2016","175000"
"2016","10000"
"2016","6500"
"2016","100000"
"2016","121700"
"2016","100000"
"2016","100000"
"2016","78300"
"2016","50000"
"2016","13500"
"2016","500000"
"2016","8000"
"2016","9700"
"2016","7000"
"2016","3500"
"2016","25000"
"2016","4950"
"2016","10000"
"2016","3500"
"2016","1000"
"2016","5000"
"2016","1500"
"2016","1000"
"2016","1000"
"2016","10000"
"2016","1000"
"2016","5000"
"2016","1000"
"2016","1000"
"2016","1000"
"2016","10000"
"2016","1000"
"2016","1250"
"2016","2500"
"2016","500"
"2016","1500"
"2016","1500"
"2016","5000"
"2016","5000"
"2016","10000"
"2016","10000"
"2016","20000"
"2016","5000"
"2016","2500"
"2016","5000"
"2016","10000"
"2016","20000"
"2016","2500"
"2016","5000"
"2016","10000"
"2016","25000"
"2016","1000"
"2016","25000"
"2016","1600"
"2016","3000"
"2016","200"
"2016","4500"
"2016","6900"
"2016","2000"
"2016","5000"
"2016","23913"
"2016","4000"
"2016","2650"
"2016","750"
"2016","10000"
"2016","10000"
"2016","2000"
"2016","2000"
"2016","18860"
"2016","750"
"2016","4999.99"
"2016","10000"
"2016","1750"
"2016","22180"
